,Model,Type,Real Acc,Real F1,Real Prec,Real Rec
1,MobileNetV2,CNN,0.40310077519379844,0.33889253671315445,0.438394553449633,0.40310077519379844
2,ResNet50,CNN,0.3643410852713178,0.2523695611071379,0.48584504883282964,0.3643410852713178
3,Custom CNN,CNN,0.34108527131782945,0.24943531920276107,0.22590635353670244,0.34108527131782945
4,SVM,ML (Visual+NLP),0.3488372093023256,0.20956407933152116,0.25428898208158596,0.3488372093023256
5,Logistic Regression,ML (Visual+NLP),0.34108527131782945,0.20892908412288258,0.34938176692933565,0.34108527131782945
6,XGBoost,ML (Visual+NLP),0.3488372093023256,0.1980032159742722,0.3919306598303119,0.3488372093023256
7,Random Forest,ML (Visual+NLP),0.34108527131782945,0.18331533347733217,0.2523957761093817,0.34108527131782945
